name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,naver_store_type,naver_star_point,naver_star_point_qty,naver_blog_review_txt,naver_blog_review_qty
충북순대,한식,국/탕/찌개류,한식 일반 음식점업,흑석동,37.50785978,126.9638053,한식국 탕 찌개류한식 일반 음식점업,흑석동%20충북순대,https://m.place.naver.com/restaurant/1185621071,순대 순댓국,4.16,182,최근 먹어본 순대국중 단연 남바완 김치도 참좋고 적당한 간의 조절과 함께나온 간이 진심입니다 간맛집이자 순대국맛집 앵간한 순대국 이집으로 정리!! 담엔 소주에 식사하러 갈게요 ?? 저는 별로 안좋아하는데 오빠가 좋아하기도하고 맛집이라고 자주가는곳이예요  매장도 깨끗 하고 맛도좋고  착한가격에 넓은장소에 양도많이주네요,39
또우리,한식,돼지고기 구이/찜,한식 육류 요리 전문점,흑석동,37.50751486,126.9645453,한식돼지고기 구이 찜한식 육류 요리 전문점,흑석동%20또우리,https://m.place.naver.com/restaurant/36939786,육류 고기요리,4.27,223,추천받아서 방문한 곳인데  쌈도 맛도 양도 대박이에요?? 주인 분도 너무 친절하시고 직장인 점심으로 딱입니다??  직원분 친절하시고 음식도 맛있어요 불맛이 살아있는 쭈꾸미 강추~,20
리버풀펍,주점,요리 주점,기타 주점업,흑석동,37.50815809,126.9608378,주점요리 주점기타 주점업,흑석동%20리버풀펍,https://m.place.naver.com/restaurant/1104074850,바(BAR),4.66,74,축구의 축자도 모르지만  리버풀펍이라는 이름에 걸맞는 분위기가 넘 좋았어요!! 축구즐기러 오기도 좋을 것 같구  아니더라도 그냥 술먹으러 와도 넘 좋은 곳이예요ㅎㅎ 신나는 분위기~~ 감동이었던건  칵테일에 스테인리스 빨대를??!! 사실 플라스틱 빨대를 싫어해서 칵테일 좋아해도  칵테일을 먹기 꺼려졌었는데?? 다회용빨대에 주시는 센스가 너무 좋았습니당~ 왜 빅매치가 있을때마다 사람들이 가는지 알겠습니다! 잘 먹었습니당ㅎㅎ,33
제일주당,주점,생맥주 전문,생맥주 전문점,상도1동,37.50345885,126.9490952,주점생맥주 전문생맥주 전문점,상도1동%20제일주당,https://m.place.naver.com/restaurant/1399870642,요리주점,4.7,243,"매번 올 때마다 다른 안주를 먹는 이유가 거를게 없어요!!! 불낙새랑 갈비찜부터 하나하나씩 다 정복해볼 생각입니다__ 술마시러 가면 분위기도 중요하지만 안주 퀄리티도 중요한데 여기가 정말 제가 원하던 그런 퀄리티의 안주에 분위기도 좋아서 단골이 될 수밖에 없네용 해장술 하기 좋은 곳 어제 분명 과음해서.. 내가 술을 입에 또 댄다면.. .사람이 아니므니다 생각했지만, 술 좋아하시는 분들은 아시졍? 숙취로 오전내내 고생하다가도 오후만 되면 일잔 생각이 스믈스믈
올라와요 ㅎㅎ..... 나란인간.. ㅎㅎ... 속이 싹 풀리면서 맑은 국물 _오 홍합탕에 살짝 적시고 갑니다1학기 기말끝나고 종강~ 파튀장소는 바로여기 안주여러게 시켜놓고 맛있게 먹었어요 갈비찜에다가 계란말이에다가 나가사키짬뽕에다가 코리안장녀는 한식 너무좋아요 안주 몹시 마음에 들었어요 주
말에 또 고고고",99
치즈밥있슈,기타 간이,피자,피자  햄버거  샌드위치 및 유사 음식점업,흑석동,37.50768437,126.9592269,기타 간이피자피자  햄버거  샌드위치 및 유사 음식점업,흑석동%20치즈밥있슈,https://m.place.naver.com/restaurant/1220688643,퓨전음식,3.9,65,"치즈밥있슈 중대점 진짜 오래간만에 추억돋게 방문했는데 매장이 이렇게 깔끔해졌네요~~
제 기억속 치즈밥있슈랑 위치도 좀 다른거같한데 암튼 오랜만에 치즈밥 먹고 기분 좋았습니다 스페셜메뉴가 가성비가 좋네요. 집에서 해먹을 수 있는 간편 음식 같이 생각할 수 있겠지만, 여기와서만 먹을 수 있는 메뉴들이에요. 치즈는 정말 듬뿍 들어있어요. 밥에 치즈를 뿌린게 아니라, 치즈에 밥을 넣었다고 해야겠어요. 자글거리는 뚝배기에 담겨져 있어서 따뜻함도 오래가요. 셀프바에는 피클/볶은김치가 있어요. 느끼함을 느낄 때쯤에 무채를 한 입 먹으면 정말 상쾌해요. 매장 인테리어는 식당보다는 예술관인가 싶을 정도로 예쁘네요. 셀프바도 너무 청결해서 혹여나 떨어트릴까 음식도 조심조심 담았네요. 무엇보다 사장님이 너무 친절하셔요. 음식도 맛있는데 친절한 응대를 받으니 기분마저 좋아서 금상첨화였어요. 다음에 또 올 생각 있습니다 치즈 좋아하시면 여긴 천국! ",14
피자보이시나중앙대,기타 간이,피자,피자  햄버거  샌드위치 및 유사 음식점업,흑석동,37.50771678,126.9598372,기타 간이피자피자  햄버거  샌드위치 및 유사 음식점업,흑석동%20피자보이시나중앙대,https://m.place.naver.com/restaurant/31850254,피자,4.68,193,치즈부터 남다른 피자+.+ 사이즈도 세종류라서 혼밥부터 모임까지 전부 커버 가능해요!! 피자 종류도 많고 세트메뉴도 잘돼있고 사장님도 친절하시고 치즈크러스트 엣지가 기본으로 들어가서 좋아요!! 포장할인도 돼용 ?? 포장할인없음?? 금요일 퇴근길 픽업하는 피자?? 너무 맛나요 ㅎㅎ 베스트는 페퍼로니에 할라피뇨 추가한 피자와 베이컨 포테이토! 늘 이조합으로 주문합니다?? 최고의 피자집 ???????? 방문포장할인이 지난달부터 없어진건가요? 고지라도 해주셨으면 좋앗을텐데요..네이버지도에 소식에 여전히 방문포장할인글이있는데요.. 픽업하고 우연히 카드결제알림이 뜬거보고 배달이랑 가격차가 너무안나서 영수증을 확인하니 방문포장할인이 안되어있네여.. 5/19 카드내역보니 그때도 안되어있고.. 남자사장님과 여자 사장님 차이인가요? 5월부터 방문포장할인없음으로 변경된건지요? 픽업후 2-3분후 전화하니 안받으셔서 사실확인은 못했네요. 알아서 잘 계산하셨겟거니 해서 영수증 확인을 잘안하는데.. 왔다갓다... 삼천원 더 써서배달할걸요.. +덧; 아...4/7일에도 방문포장할인이없었네요.. 제가 네이버 지도에서보고 착각한것같네요. 없어진 혜택은 수정해서 착오없게 해주시면 좋을것같습니다,88
페이브베이커리흑석점,비알코올 ,카페,커피 전문점,흑석동,37.50765542,126.9631069,비알코올 카페커피 전문점,흑석동%20페이브베이커리흑석점,https://m.place.naver.com/restaurant/1926122800,카페 디저트,4.9,1043,아인슈페너가 정말 맛있어요 ! 크림이 쫀득쫀득해용 매장도 넓고 다음엔 베이커리 먹으러 또 올게요 :) 페이브 아인슈페너 넘 맛있어요__빵도 맛있었구.넓어서 쾌적한 환경에서 대화하기 좋았습니다 흑석동엔 이집 커피가 제일 맛있어요. :),100
교촌치킨숭실대점,기타 간이,치킨,치킨 전문점,상도1동,37.49569699,126.9537388,기타 간이치킨치킨 전문점,상도1동%20교촌치킨숭실대점,https://m.place.naver.com/restaurant/1125716023,치킨 닭강정,4.5,61,"치킨과 맵떡볶이 시켰는데 맛있었어요 오늘처럼 기온이 올랴간 날은 시원한 맥주가 최고죠~서빙하시는분이 웃는상에다 넘 친절하셔서 인상에 남네요 앗있고 친절하시고~덕분에 즐거운 시간보냈슴다~ 전화 응대부터 대면까지 넘 친절하시네요
잘 먹었습니다 홀에서 먹는 건 3~4번째인데 항상 맛있고 사장님들 직원분들 모두 너무너무 친절하세요 !! __ 배달로도 자주 시켜먹는데 홀_배달 둘 다 항상 너무 맛있게 먹었어용 ㅎㅎ 참고로 해당 매장은 _애견 동반 매장_ 이 아니며 1. 홀에 사람이 거의 없는 경우 2. 홀에 있는 손님분들 모두 털알레르기 없는 경우 위에 1 2 모두 충족될 때 밖에 테라스 쪽에서만 일부 허용해 주시는데  상황봐서 유동적으로 가 능 여부가 정해지는 거니 혹시 이 리뷰 사진보고 무조건 강아지데리고 가시지는 않으셨으면 합니다!!__ 아무튼 너무너무 맛있고 매장도 깨끗해서 앞으로 홀도 배달도 무조건 숭실대점으로 계속",14
디디치킨,기타 간이,치킨,치킨 전문점,상도1동,37.49512847,126.9566984,기타 간이치킨치킨 전문점,상도1동%20디디치킨,https://m.place.naver.com/restaurant/31248422,치킨 닭강정,2.25,19,치킷  호프  맛나요,16
카페루반,비알코올 ,카페,커피 전문점,흑석동,37.50511043,126.9605972,비알코올 카페커피 전문점,흑석동%20카페루반,https://m.place.naver.com/restaurant/1010845920,카페 디저트,4.46,201,"친구가 조용하고 좋다고 해서 같이 차마시러 방문했어요.
조용하고 좋은데 내일(25) 까지 영업하고 종료한다고 하네요. 아쉽네요. 까망돌 도서관 이용하면서 아이와 자주 갑니다 사장님이 친절하시고 커피와 음료 디저트가 있어서 좋아요 감자샐러드 토스트랑 바닐라 라떼 레몬에이드를 즐겨먹어요 조용하고 깔끔해서 좋아요.",1
